page_seq,house_seq,title,url,address,area_m2,bedrooms,en_suites,price,bathrooms,parking_spaces,type,street_name,street_number,condo_name,city
9,10,                Casa de condominio com 3 Quartos a Venda 340m2            ,www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-aldeia-da-serra-bairros-barueri-com-garagem-340m2-venda-RS2335000-id-2445657969/,"                Alameda Sabiá - Aldeia da Serra, Barueri - SP              ",340.0,3.0,3.0,2335000,5,6.0,Casa,Alameda Sabiá,,,Barueri  SP
9,11,                Casa de condominio com 4 Quartos a Venda 420m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-santana-de-parnaiba-com-garagem-420m2-venda-RS2000000-id-86433302/,"                Alameda dos Manacás - Aldeia da Serra, Santana de Parnaíba - SP              ",420.0,4.0,2.0,2000000,5,6.0,Casa,Alameda dos Manacás,,,Santana de Parnaíba  SP
9,12,                Casa de condominio com 3 Quartos para VendaAluguel 430m2            ,www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-aldeia-da-serra-bairros-barueri-com-garagem-430m2-venda-RS1800000-id-2484232872/,"                Alameda Andorinha - Aldeia da Serra, Barueri - SP              ",430.0,3.0,3.0,1800000,5,6.0,Casa,Alameda Andorinha,,,Barueri  SP
9,13,                LoteTerreno    a Venda 384m2            ,www.vivareal.com.br/imovel/lote-terreno-aldeia-da-serra-bairros-barueri-384m2-venda-RS265000-id-2480236323/,"                Estrada Doutor Yojiro Takaoka, 2165 - Aldeia da Serra, Barueri - SP              ",384.0,,,265000,,,Lote,Estrada Doutor Yojiro Takaoka,2165.0,,Barueri  SP
9,14,                Casa de condominio com 4 Quartos a Venda 1000m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-santana-de-parnaiba-com-garagem-1000m2-venda-RS7200000-id-2482351774/,"                Alameda dos Pinhos - Aldeia da Serra, Santana de Parnaíba - SP              ",1000.0,4.0,4.0,7200000,7,6.0,Casa,Alameda dos Pinhos,,,Santana de Parnaíba  SP
9,15,                Casa de condominio com 5 Quartos a Venda 600m2            ,www.vivareal.com.br/imovel/casa-de-condominio-5-quartos-aldeia-da-serra-bairros-santana-de-parnaiba-com-garagem-600m2-venda-RS4500000-id-1040914916/,"                Alameda das Paineiras - Aldeia da Serra, Santana de Parnaíba - SP              ",600.0,5.0,5.0,4500000,8,4.0,Casa,Alameda das Paineiras,,,Santana de Parnaíba  SP
9,17,                Casa de condominio com 5 Quartos a Venda 410m2            ,www.vivareal.com.br/imovel/casa-de-condominio-5-quartos-aldeia-da-serra-bairros-barueri-com-garagem-410m2-venda-RS2490000-id-86434631/,"                Alameda Garopaba - Aldeia da Serra, Barueri - SP              ",410.0,5.0,4.0,2490000,6,6.0,Casa,Alameda Garopaba,,,Barueri  SP
9,18,                Casa de condominio com 4 Quartos a Venda 302m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-barueri-com-garagem-302m2-venda-RS1350000-id-86434799/,"                Alameda Gaivota - Aldeia da Serra, Barueri - SP              ",302.0,4.0,2.0,1350000,6,4.0,Casa,Alameda Gaivota,,,Barueri  SP
9,19,                LoteTerreno    a Venda 240m2            ,www.vivareal.com.br/imovel/lote-terreno-aldeia-da-serra-bairros-barueri-240m2-venda-RS840000-id-2482351578/,"                Avenida Real - Aldeia da Serra, Barueri - SP              ",240.0,,,840000,,,Lote,Avenida Real,,,Barueri  SP
9,20,                Casa de condominio com 4 Quartos a Venda 393m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-barueri-com-garagem-393m2-venda-RS2499000-id-86434597/,"                Alameda Salgueiros - Aldeia da Serra, Barueri - SP              ",393.0,4.0,2.0,2499000,6,6.0,Casa,Alameda Salgueiros,,,Barueri  SP
9,21,                Casa de condominio com 4 Quartos a Venda 600m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-barueri-com-garagem-600m2-venda-RS1700000-id-86434792/,"                Alameda Colibri - Aldeia da Serra, Barueri - SP              ",600.0,4.0,2.0,1700000,4,4.0,Casa,Alameda Colibri,,,Barueri  SP
9,22,                Casa de condominio com 4 Quartos a Venda 240m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-santana-de-parnaiba-com-garagem-240m2-venda-RS1300000-id-86433570/,"                Alameda das Rosas - Aldeia da Serra, Santana de Parnaíba - SP              ",240.0,4.0,2.0,1300000,4,4.0,Casa,Alameda das Rosas,,,Santana de Parnaíba  SP
9,23,                Casa de condominio com 4 Quartos a Venda 250m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-barueri-com-garagem-250m2-venda-RS1100000-id-86433773/,"                Alameda Canário - Aldeia da Serra, Barueri - SP              ",250.0,4.0,2.0,1100000,4,4.0,Casa,Alameda Canário,,,Barueri  SP
9,24,                LoteTerreno    a Venda 570m2            ,www.vivareal.com.br/imovel/lote-terreno-aldeia-da-serra-bairros-santana-de-parnaiba-570m2-venda-RS625000-id-2482351264/,"                Alameda das Dálias - Aldeia da Serra, Santana de Parnaíba - SP              ",570.0,,,625000,,,Lote,Alameda das Dálias,,,Santana de Parnaíba  SP
9,25,                Casa de condominio com 4 Quartos a Venda 450m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-barueri-com-garagem-450m2-venda-RS1600000-id-86433724/,"                Alameda Procion - Aldeia da Serra, Barueri - SP              ",450.0,4.0,4.0,1600000,6,4.0,Casa,Alameda Procion,,,Barueri  SP
9,26,                Casa de condominio com 3 Quartos a Venda 270m2            ,www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-aldeia-da-serra-bairros-santana-de-parnaiba-com-garagem-270m2-venda-RS1300000-id-86433284/,"                Alameda dos Jasmins - Aldeia da Serra, Santana de Parnaíba - SP              ",270.0,3.0,3.0,1300000,6,4.0,Casa,Alameda dos Jasmins,,,Santana de Parnaíba  SP
